,logfile,inst_id,inst_type,inst_size,solution,sol_feasible,energy,no_occ,chain_break_frac,objective,orig_obj
0,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000001001000000000100100000000010010000000001000,True,-2108146.0,1,0.0,6414.0,6414.0
1,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000001000001010000000000100000100001000000010000,True,-2107930.0,1,0.0,6630.0,6630.0
2,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0010000100000000001000001000000001001000000000001,True,-2107904.0,1,0.0,6656.0,6656.0
3,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0010000100000000001000001000000001000000010100000,True,-2106994.0,1,0.0,7566.0,7566.0
4,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000001000001000001001000000010000000010000010000,True,-2106918.0,1,0.0,7642.0,7642.0
5,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000100100000000010000100000001000000000100000001,True,-2106908.0,1,0.0,7652.0,7652.0
6,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,1000000000100001000000000100000001000100000000001,True,-2106802.0,1,0.0,7758.0,7758.0
7,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,1000000000010000010000010000000001001000000000001,True,-2106794.0,1,0.0,7766.0,7766.0
8,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0010000000100010000000000100000000101000000000010,True,-2106703.0,1,0.0,7857.0,7857.0
9,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000001001000010000000001000010000000000100000100,True,-2106571.0,1,0.0,7989.0,7989.0
10,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0010000100000000001000001000000000101000000000010,True,-2106550.0,1,0.0,8010.0,8010.0
11,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,1000000000010000010000000001000001001000000010000,True,-2106546.0,1,0.0,8014.0,8014.0
12,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000010001000001000000000001000010010000000001000,True,-2106468.0,1,0.0,8092.0,8092.0
13,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000100100000000100000000001000001001000000001000,True,-2106244.0,1,0.02040816326530612,8316.0,8316.0
14,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0010000000100001000000000001000001010000000000100,True,-2106175.0,1,0.0,8385.0,8385.0
15,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000001000001001000001000000000010000100000001000,True,-2106145.0,1,0.0,8415.0,8415.0
16,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0001000100000000000100010000000010001000000000001,True,-2106031.0,1,0.0,8529.0,8529.0
17,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000100000001000100000000001010000010000000001000,True,-2105982.0,1,0.0,8578.0,8578.0
18,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,1000000000010000010000000001000001000100000100000,True,-2105939.0,1,0.0,8621.0,8621.0
19,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0001000000001000001000010000000000101000001000000,True,-2105932.0,1,0.0,8628.0,8628.0
20,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000100000001010000000001000000000101000000010000,True,-2105920.0,1,0.0,8640.0,8640.0
21,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0001000100000000100000100000000010000000100000001,True,-2105881.0,1,0.0,8679.0,8679.0
22,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0100000000010000010000010000000000110000000000010,True,-2105854.0,1,0.0,8706.0,8706.0
23,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000001000001000001000010000010000000010001000000,True,-2105843.0,1,0.0,8717.0,8717.0
24,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000010000000100010000100000000010010000000010000,True,-2105805.0,1,0.0,8755.0,8755.0
25,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0100000001000000010000000001000010010000000000010,True,-2105792.0,1,0.0,8768.0,8768.0
26,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,1000000001000000001000001000000001001000000000001,True,-2105787.0,1,0.0,8773.0,8773.0
27,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000001010000000001000001000001000010000000000010,True,-2105784.0,1,0.0,8776.0,8776.0
28,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0100000000100000001000000001001000000000101000000,True,-2105753.0,1,0.0,8807.0,8807.0
29,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0010000100000000010000000100000000101000000000010,True,-2105731.0,2,0.0,8829.0,8829.0
30,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,1000000000100001000000010000000001000001000000001,True,-2105729.0,1,0.0,8831.0,8831.0
31,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,1000000000100000001000000001000001001000000010000,True,-2105727.0,1,0.0,8833.0,8833.0
32,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0010000000001001000000001000000000100001001000000,True,-2105621.0,1,0.0,8939.0,8939.0
33,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000001000001000010000000100001000010000000100000,True,-2105605.0,1,0.0,8955.0,8955.0
34,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000001000010000010000000010001000010000000100000,True,-2105491.0,1,0.0,9069.0,9069.0
35,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0000100000100000100001000000000001001000000000001,True,-2105478.0,1,0.0,9082.0,9082.0
36,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,0001000000010001000000000001000001010000000010000,True,-2105477.0,1,0.0,9083.0,9083.0
37,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,1000000000010001000000010000000001000000010001000,True,-2105467.0,1,0.0,9093.0,9093.0
38,./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0050.json,TSP82,TSP,49,1000000000001000000010001000000010001000000010000,True,-2105461.0,1,0.0,9099.0,9099.0
