,inst_id,solution,sol_feasible,no_occ,objective,orig_obj
86,UDMIS7TG,011010100000110001001000101101,True,1.0,-12.0,12.0
87,UDMIS7TG,110011100001010000011000111010,True,1.0,-13.0,13.0
88,UDMIS7TG,101100001101010001000010111100,True,1.0,-13.0,13.0
89,UDMIS7TG,110001001001001000000100111100,True,1.0,-11.0,11.0
90,UDMIS7TG,111001101100010001001110110100,True,1.0,-15.0,15.0
91,UDMIS7TG,011001000001110100111010001100,False,1.0,49.0,
92,UDMIS7TG,101000001001010011001100111000,True,1.0,-12.0,12.0
93,UDMIS7TG,110000100000010000001011101100,True,1.0,-10.0,10.0
94,UDMIS7TG,111100111001110000101100101100,True,1.0,-16.0,16.0
95,UDMIS7TG,011010110000110010001100101010,True,1.0,-13.0,13.0
96,UDMIS7TG,001001011000010011001111111000,False,1.0,17.0,
97,UDMIS7TG,000100010000110000001000000100,True,1.0,-6.0,6.0
98,UDMIS7TG,001000010000000010100000010001,True,1.0,-6.0,6.0
99,UDMIS7TG,100000000000110000001000100100,True,1.0,-6.0,6.0
100,UDMIS7TG,110001110000010000101100110101,True,1.0,-13.0,13.0
101,UDMIS7TG,101100010000010000000100010000,True,1.0,-7.0,7.0
102,UDMIS7TG,000101111000010000000100001000,True,1.0,-8.0,8.0
103,UDMIS7TG,101001110000000000011100100000,True,1.0,-9.0,9.0
104,UDMIS7TG,111000100100011000001010111010,True,1.0,-13.0,13.0
105,UDMIS7TG,111100100100000110000011110000,True,1.0,-12.0,12.0
106,UDMIS7TG,001001001101010000100001001010,True,1.0,-10.0,10.0
107,UDMIS7TG,111011100100010001000000110100,True,1.0,-12.0,12.0
108,UDMIS7TG,100011000000011100000000110101,False,1.0,21.0,
109,UDMIS7TG,101001100000010011001100101101,True,1.0,-13.0,13.0
110,UDMIS7TG,001001010000100000001000010101,True,1.0,-8.0,8.0
111,UDMIS7TG,010101110010100010001011110010,True,1.0,-14.0,14.0
112,UDMIS7TG,011010001100011001001000100000,True,1.0,-10.0,10.0
113,UDMIS7TG,110001111001010001000001111000,True,1.0,-13.0,13.0
114,UDMIS7TG,111101101000010000001000011101,True,1.0,-13.0,13.0
115,UDMIS7TG,111101100001110011001000111010,True,1.0,-16.0,16.0
116,UDMIS7TG,010101100010000001001000011010,True,1.0,-10.0,10.0
117,UDMIS7TG,111000101000010000000000000001,True,1.0,-7.0,7.0
118,UDMIS7TG,110011100001000000000011100000,True,1.0,-9.0,9.0
119,UDMIS7TG,101011100001010000001001010100,True,1.0,-11.0,11.0
120,UDMIS7TG,111000010000010000001100100001,True,1.0,-9.0,9.0
121,UDMIS7TG,000011001100010000010001011000,True,1.0,-9.0,9.0
122,UDMIS7TG,110000101000010000000000010000,True,1.0,-6.0,6.0
123,UDMIS7TG,010011100001011001001000101000,True,1.0,-11.0,11.0
124,UDMIS7TG,001000000000010010001011001010,True,1.0,-8.0,8.0
125,UDMIS7TG,101011111000011001000001111010,True,1.0,-15.0,15.0
126,UDMIS7TG,110000010010100110001000011010,True,1.0,-11.0,11.0
127,UDMIS7TG,000101000000100010001001111010,True,1.0,-10.0,10.0
128,UDMIS7TG,110101010001110100000100111001,True,1.0,-14.0,14.0
129,UDMIS7TG,100001100001001010100100101000,True,1.0,-10.0,10.0
130,UDMIS7TG,111000100010100001101100010001,True,1.0,-12.0,12.0
131,UDMIS7TG,001101000010010100000110011101,True,1.0,-12.0,12.0
132,UDMIS7TG,110101010001110001001000101100,True,1.0,-13.0,13.0
133,UDMIS7TG,110000100000000100011011010000,True,1.0,-9.0,9.0
134,UDMIS7TG,110011000001100000000000111000,True,1.0,-9.0,9.0
135,UDMIS7TG,010001100000110000011011011010,True,1.0,-12.0,12.0
136,UDMIS7TG,111011101000000000001101110001,False,1.0,18.0,
137,UDMIS7TG,011010100000010010000000101101,True,1.0,-10.0,10.0
138,UDMIS7TG,011001100101000001101001111001,True,1.0,-14.0,14.0
139,UDMIS7TG,010001000100100000000001100100,True,1.0,-7.0,7.0
140,UDMIS7TG,101001110000000000001100111000,True,1.0,-10.0,10.0
141,UDMIS7TG,101011100100100001001000111100,True,1.0,-13.0,13.0
142,UDMIS7TG,001000111001010000001010101100,True,1.0,-11.0,11.0
143,UDMIS7TG,011001000001110011001010000000,True,1.0,-10.0,10.0
144,UDMIS7TG,111101011000000001001010111100,True,1.0,-14.0,14.0
145,UDMIS7TG,110000011000000000010110100000,True,1.0,-8.0,8.0
146,UDMIS7TG,111001100001010010001010101000,True,1.0,-12.0,12.0
147,UDMIS7TG,111100000101110000101000111100,True,1.0,-14.0,14.0
148,UDMIS7TG,010101100000010010001001101010,True,1.0,-11.0,11.0
149,UDMIS7TG,100010010000000000011011010001,True,1.0,-9.0,9.0
150,UDMIS7TG,110101010001010000001000011010,True,1.0,-11.0,11.0
151,UDMIS7TG,011101101100010000001000101000,True,1.0,-11.0,11.0
152,UDMIS7TG,001011101001110000101100110000,True,1.0,-13.0,13.0
153,UDMIS7TG,101010101100011000011100000000,True,1.0,-11.0,11.0
154,UDMIS7TG,011011100100011010000000111000,True,1.0,-12.0,12.0
155,UDMIS7TG,101010100001100000001001101001,True,1.0,-11.0,11.0
156,UDMIS7TG,111001010000000001001010010010,True,1.0,-10.0,10.0
157,UDMIS7TG,001010111000000010001000111000,True,1.0,-10.0,10.0
158,UDMIS7TG,110101010000010000001000001101,True,1.0,-10.0,10.0
159,UDMIS7TG,010001000110000010001110100001,True,1.0,-10.0,10.0
160,UDMIS7TG,110001100000100001001000011001,True,1.0,-10.0,10.0
161,UDMIS7TG,010001010000000001110100111101,False,1.0,19.0,
162,UDMIS7TG,101011100000010000011000111001,True,1.0,-12.0,12.0
163,UDMIS7TG,010000101001010001000100110100,True,1.0,-10.0,10.0
164,UDMIS7TG,111011100000000011001000101000,True,1.0,-11.0,11.0
165,UDMIS7TG,001001000001110001101100101010,True,1.0,-12.0,12.0
166,UDMIS7TG,010101000000110011001000100001,True,1.0,-10.0,10.0
167,UDMIS7TG,111010000100010010001010101100,True,1.0,-12.0,12.0
168,UDMIS7TG,111101110000000010001000110000,True,1.0,-11.0,11.0
169,UDMIS7TG,110000011000011010110001011001,False,1.0,49.0,
170,UDMIS7TG,101010001000110000001100101001,True,1.0,-11.0,11.0
171,UDMIS7TG,100011001001000010001000100001,True,1.0,-9.0,9.0
172,UDMIS7TG,010011100100001001001001111010,True,1.0,-13.0,13.0
173,UDMIS7TG,011001010000001001000011001000,True,1.0,-9.0,9.0
174,UDMIS7TG,101001100000100000000000100101,True,1.0,-8.0,8.0
175,UDMIS7TG,101011011000110000100000001001,True,1.0,-11.0,11.0
176,UDMIS7TG,110000000100001000001110110010,True,1.0,-10.0,10.0
177,UDMIS7TG,101000101000010001001000101100,True,1.0,-10.0,10.0
178,UDMIS7TG,001101000010110001001100110000,True,1.0,-11.0,11.0
179,UDMIS7TG,100001100001110000011001110100,True,1.0,-12.0,12.0
180,UDMIS7TG,011100011000010011000110101000,True,1.0,-12.0,12.0
181,UDMIS7TG,011101110000100000000001101001,True,1.0,-11.0,11.0
182,UDMIS7TG,011001001000000000010011111100,True,1.0,-11.0,11.0
183,UDMIS7TG,010001000100110000001010001010,True,1.0,-9.0,9.0
184,UDMIS7TG,001001101101000000001100110101,True,1.0,-12.0,12.0
185,UDMIS7TG,111011110000001010001000110000,True,1.0,-12.0,12.0
186,UDMIS7TG,111011001100000100000001111000,True,1.0,-12.0,12.0
187,UDMIS7TG,110011100110010010001110110000,True,1.0,-14.0,14.0
188,UDMIS7TG,101001000100010000010001111000,True,1.0,-10.0,10.0
189,UDMIS7TG,111010100000010001001010111010,True,1.0,-13.0,13.0
190,UDMIS7TG,001000100101011001000110111000,True,1.0,-12.0,12.0
191,UDMIS7TG,101001100110010100011000111000,True,1.0,-13.0,13.0
192,UDMIS7TG,001101100001010010001110110000,True,1.0,-12.0,12.0
193,UDMIS7TG,110011100101100000001000110010,True,1.0,-12.0,12.0
194,UDMIS7TG,110000101000100010001000001001,True,1.0,-9.0,9.0
195,UDMIS7TG,010001000000010010001000110100,True,1.0,-8.0,8.0
196,UDMIS7TG,101001100100110000010001011000,True,1.0,-11.0,11.0
197,UDMIS7TG,010100000100000011101000101100,True,1.0,-10.0,10.0
198,UDMIS7TG,010011001000001000001001111000,True,1.0,-10.0,10.0
199,UDMIS7TG,101110010100000010001001011000,False,1.0,51.0,
200,UDMIS7TG,111011001001000000101000111000,True,1.0,-12.0,12.0
201,UDMIS7TG,101001110001001000011101011010,False,1.0,17.0,
202,UDMIS7TG,111101100100000000101100110000,True,1.0,-12.0,12.0
203,UDMIS7TG,111101100000010000001011111000,True,1.0,-13.0,13.0
204,UDMIS7TG,001000110001100010000110101001,True,1.0,-11.0,11.0
205,UDMIS7TG,011001000100001010001100111000,True,1.0,-11.0,11.0
206,UDMIS7TG,111000100000000100000001100010,True,1.0,-8.0,8.0
207,UDMIS7TG,101100001100010000000001111010,True,1.0,-11.0,11.0
208,UDMIS7TG,010101000001010001000001010000,True,1.0,-8.0,8.0
209,UDMIS7TG,100001001000010001000001010100,True,1.0,-8.0,8.0
210,UDMIS7TG,101011000110010011001110110010,True,1.0,-15.0,15.0
211,UDMIS7TG,111100111000010001001100111001,True,1.0,-15.0,15.0
212,UDMIS7TG,111101100101000010000000111000,True,1.0,-12.0,12.0
213,UDMIS7TG,011001000000100000000000110100,True,1.0,-7.0,7.0
214,UDMIS7TG,111011110000000000001110111001,True,1.0,-14.0,14.0
215,UDMIS7TG,001101100100000001001011000000,True,1.0,-9.0,9.0
216,UDMIS7TG,100000100101010000011010100101,True,1.0,-11.0,11.0
217,UDMIS7TG,011000100000010000001110011100,True,1.0,-10.0,10.0
218,UDMIS7TG,000000110001010010001001011101,True,1.0,-11.0,11.0
219,UDMIS7TG,111000000100110001010000101000,True,1.0,-10.0,10.0
220,UDMIS7TG,001100100000100011000000000010,True,1.0,-7.0,7.0
221,UDMIS7TG,001101101000110100001000010001,True,1.0,-11.0,11.0
222,UDMIS7TG,010100000100100000000100101000,True,1.0,-7.0,7.0
223,UDMIS7TG,010001000001110000000000111100,True,1.0,-9.0,9.0
224,UDMIS7TG,111010100001110010001000001000,True,1.0,-11.0,11.0
225,UDMIS7TG,001011101000010010001011111010,True,1.0,-14.0,14.0
226,UDMIS7TG,011101100110100000011000110000,True,1.0,-12.0,12.0
227,UDMIS7TG,010101000000010010000001110000,True,1.0,-8.0,8.0
228,UDMIS7TG,101000000000011000000100110100,True,1.0,-8.0,8.0
229,UDMIS7TG,010100100110001001011100111000,True,1.0,-13.0,13.0
230,UDMIS7TG,100001000000010110001100111000,True,1.0,-10.0,10.0
231,UDMIS7TG,011011001000010010001011010001,True,1.0,-12.0,12.0
232,UDMIS7TG,111011110010110000101000001000,True,1.0,-13.0,13.0
233,UDMIS7TG,111000001101010011000001100001,True,1.0,-12.0,12.0
234,UDMIS7TG,101000101001110010001001111000,True,1.0,-13.0,13.0
235,UDMIS7TG,001011000000110001001110101010,True,1.0,-12.0,12.0
236,UDMIS7TG,111010001100001011001100001000,True,1.0,-12.0,12.0
237,UDMIS7TG,000010000110011001000010101001,True,1.0,-10.0,10.0
238,UDMIS7TG,010100100100010000100100100010,True,1.0,-9.0,9.0
239,UDMIS7TG,011000011000010000001001011001,True,1.0,-10.0,10.0
240,UDMIS7TG,000010000001000000010100110000,True,1.0,-6.0,6.0
241,UDMIS7TG,010101001100010000000011110010,True,1.0,-11.0,11.0
242,UDMIS7TG,011001110001100000001011100111,False,1.0,48.0,
243,UDMIS7TG,110100100110001000000000101100,True,1.0,-10.0,10.0
244,UDMIS7TG,010001101100000010001000101000,True,1.0,-9.0,9.0
245,UDMIS7TG,101001001000010000001000111000,True,1.0,-9.0,9.0
246,UDMIS7TG,101000000001010000000000111000,True,1.0,-7.0,7.0
247,UDMIS7TG,110010110001110000000100100001,True,1.0,-11.0,11.0
248,UDMIS7TG,011001101000010000001100011001,True,1.0,-11.0,11.0
249,UDMIS7TG,100001110001001001101100111001,True,1.0,-14.0,14.0
250,UDMIS7TG,110011110010001001001000010000,True,1.0,-11.0,11.0
251,UDMIS7TG,011101111000010000001000010010,True,1.0,-11.0,11.0
252,UDMIS7TG,111011100101100000000110101001,True,1.0,-14.0,14.0
253,UDMIS7TG,011010101101000001011110010001,True,1.0,-14.0,14.0
