,inst_id,solution,sol_feasible,no_occ,objective,orig_obj
534,UDMIS4TG,101010111011010,False,1.0,7.0,
535,UDMIS4TG,101010111100011,False,1.0,7.0,
536,UDMIS4TG,101011000000011,True,1.0,-6.0,6.0
537,UDMIS4TG,101011000011011,True,1.0,-8.0,8.0
538,UDMIS4TG,101011000100000,True,1.0,-5.0,5.0
539,UDMIS4TG,101011001001000,True,1.0,-6.0,6.0
540,UDMIS4TG,101011001001011,True,2.0,-8.0,8.0
541,UDMIS4TG,101011001001101,True,2.0,-8.0,8.0
542,UDMIS4TG,101011001010011,True,1.0,-8.0,8.0
543,UDMIS4TG,101011001011011,True,8.0,-9.0,9.0
544,UDMIS4TG,101011001011101,True,4.0,-9.0,9.0
545,UDMIS4TG,101011001100010,True,1.0,-7.0,7.0
546,UDMIS4TG,101011001101000,True,1.0,-7.0,7.0
547,UDMIS4TG,101011001101001,True,1.0,-8.0,8.0
548,UDMIS4TG,101011001101011,True,1.0,-9.0,9.0
549,UDMIS4TG,101011001101101,False,4.0,7.0,
550,UDMIS4TG,101011001110011,False,1.0,7.0,
551,UDMIS4TG,101011001111011,False,1.0,6.0,
552,UDMIS4TG,101011010001001,True,2.0,-7.0,7.0
553,UDMIS4TG,101011010001011,True,1.0,-8.0,8.0
554,UDMIS4TG,101011010001100,True,1.0,-7.0,7.0
555,UDMIS4TG,101011010001101,True,1.0,-8.0,8.0
556,UDMIS4TG,101011010001111,False,1.0,7.0,
557,UDMIS4TG,101011010010001,True,1.0,-7.0,7.0
558,UDMIS4TG,101011010010011,True,1.0,-8.0,8.0
559,UDMIS4TG,101011010011010,True,1.0,-8.0,8.0
560,UDMIS4TG,101011010011011,True,1.0,-9.0,9.0
561,UDMIS4TG,101011010011101,True,7.0,-9.0,9.0
562,UDMIS4TG,101011010011111,False,3.0,6.0,
563,UDMIS4TG,101011010100011,True,1.0,-8.0,8.0
564,UDMIS4TG,101011010101001,True,2.0,-8.0,8.0
565,UDMIS4TG,101011010101011,True,3.0,-9.0,9.0
566,UDMIS4TG,101011010101101,False,1.0,7.0,
567,UDMIS4TG,101011010111011,False,1.0,6.0,
568,UDMIS4TG,101011010111101,False,1.0,22.0,
569,UDMIS4TG,101011010111110,False,1.0,38.0,
570,UDMIS4TG,101011011011011,False,2.0,6.0,
571,UDMIS4TG,101011011011101,False,1.0,6.0,
572,UDMIS4TG,101011101001101,False,1.0,7.0,
573,UDMIS4TG,101011101101011,False,3.0,6.0,
574,UDMIS4TG,101011101101101,False,1.0,22.0,
575,UDMIS4TG,101011101101111,False,1.0,37.0,
576,UDMIS4TG,101011110001001,False,1.0,8.0,
577,UDMIS4TG,101011110001011,False,1.0,7.0,
578,UDMIS4TG,101011110001101,False,1.0,7.0,
579,UDMIS4TG,101011110011001,False,1.0,7.0,
580,UDMIS4TG,101011110011011,False,1.0,6.0,
581,UDMIS4TG,101011110011101,False,1.0,6.0,
582,UDMIS4TG,101011110100101,False,1.0,23.0,
583,UDMIS4TG,101011111011101,False,1.0,21.0,
584,UDMIS4TG,101011111101111,False,1.0,52.0,
585,UDMIS4TG,101100001000011,False,1.0,10.0,
586,UDMIS4TG,101100001010101,False,1.0,9.0,
587,UDMIS4TG,101100001011101,False,1.0,8.0,
588,UDMIS4TG,101100010011111,False,1.0,23.0,
589,UDMIS4TG,101100010111000,False,1.0,25.0,
590,UDMIS4TG,101100010111011,False,1.0,23.0,
591,UDMIS4TG,101100010111101,False,1.0,39.0,
592,UDMIS4TG,101100011101001,False,1.0,24.0,
593,UDMIS4TG,101100101000101,False,1.0,25.0,
594,UDMIS4TG,101100101011011,False,1.0,23.0,
595,UDMIS4TG,101100101011101,False,1.0,23.0,
596,UDMIS4TG,101100110001101,False,1.0,24.0,
597,UDMIS4TG,101100110011011,False,1.0,23.0,
598,UDMIS4TG,101100110100111,False,1.0,55.0,
599,UDMIS4TG,101100110111011,False,1.0,38.0,
600,UDMIS4TG,101101000101011,False,1.0,24.0,
601,UDMIS4TG,101101001011111,False,1.0,38.0,
602,UDMIS4TG,101101001100100,False,1.0,41.0,
603,UDMIS4TG,101101001101001,False,1.0,24.0,
604,UDMIS4TG,101101001101011,False,1.0,23.0,
605,UDMIS4TG,101101010001101,False,1.0,24.0,
606,UDMIS4TG,101101010010010,False,1.0,25.0,
607,UDMIS4TG,000010110110001,False,1.0,10.0,
608,UDMIS4TG,101101101011001,False,1.0,55.0,
609,UDMIS4TG,101101101011111,False,1.0,69.0,
610,UDMIS4TG,101101110111011,False,1.0,69.0,
611,UDMIS4TG,101110000101011,False,1.0,8.0,
612,UDMIS4TG,101110001000101,False,1.0,9.0,
613,UDMIS4TG,101110001001100,False,1.0,9.0,
614,UDMIS4TG,101110001100010,False,1.0,9.0,
615,UDMIS4TG,101110001101000,False,1.0,9.0,
616,UDMIS4TG,101110001101111,False,1.0,38.0,
617,UDMIS4TG,101110001111010,False,1.0,23.0,
618,UDMIS4TG,101110010001001,False,1.0,9.0,
619,UDMIS4TG,101110010101001,False,1.0,8.0,
620,UDMIS4TG,101110011100001,False,1.0,24.0,
621,UDMIS4TG,101110011101011,False,1.0,22.0,
622,UDMIS4TG,101110011101111,False,1.0,53.0,
623,UDMIS4TG,101110101000111,False,1.0,39.0,
624,UDMIS4TG,101110101001011,False,1.0,23.0,
625,UDMIS4TG,101110101011100,False,1.0,23.0,
626,UDMIS4TG,101110101101011,False,2.0,22.0,
627,UDMIS4TG,101110101111111,False,1.0,68.0,
628,UDMIS4TG,101110110001100,False,1.0,24.0,
629,UDMIS4TG,101110110001101,False,1.0,23.0,
630,UDMIS4TG,101110110010101,False,1.0,23.0,
631,UDMIS4TG,101110110011011,False,1.0,22.0,
632,UDMIS4TG,101110110011101,False,1.0,22.0,
633,UDMIS4TG,101110110100011,False,1.0,23.0,
634,UDMIS4TG,101110111011101,False,1.0,37.0,
635,UDMIS4TG,101111000001101,False,1.0,24.0,
636,UDMIS4TG,101111001000011,False,1.0,24.0,
637,UDMIS4TG,101111001001011,False,1.0,23.0,
638,UDMIS4TG,101111001010101,False,1.0,23.0,
639,UDMIS4TG,101111001011010,False,1.0,23.0,
640,UDMIS4TG,101111001011011,False,2.0,22.0,
641,UDMIS4TG,101111001011110,False,1.0,38.0,
642,UDMIS4TG,101111001011111,False,1.0,37.0,
643,UDMIS4TG,101111001101101,False,1.0,38.0,
644,UDMIS4TG,101111001101111,False,1.0,53.0,
645,UDMIS4TG,101111010011101,False,1.0,22.0,
646,UDMIS4TG,101111010011111,False,1.0,37.0,
647,UDMIS4TG,101111010101001,False,1.0,23.0,
648,UDMIS4TG,101111010111101,False,1.0,53.0,
649,UDMIS4TG,101111100001101,False,1.0,55.0,
650,UDMIS4TG,101111101001101,False,1.0,54.0,
651,UDMIS4TG,101111101011001,False,1.0,54.0,
652,UDMIS4TG,101111101011010,False,1.0,54.0,
653,UDMIS4TG,101111101011011,False,2.0,53.0,
654,UDMIS4TG,101111101101001,False,2.0,54.0,
655,UDMIS4TG,101111101101010,False,1.0,54.0,
656,UDMIS4TG,101111101101011,False,2.0,53.0,
657,UDMIS4TG,101111101101101,False,1.0,69.0,
658,UDMIS4TG,101111101111101,False,1.0,84.0,
659,UDMIS4TG,101111110010101,False,1.0,54.0,
660,UDMIS4TG,101111110011101,False,1.0,53.0,
661,UDMIS4TG,101111110101011,False,1.0,53.0,
662,UDMIS4TG,101111110101101,False,1.0,69.0,
663,UDMIS4TG,110000001101001,True,1.0,-6.0,6.0
664,UDMIS4TG,110000010000101,True,1.0,-5.0,5.0
665,UDMIS4TG,110000010011101,True,1.0,-7.0,7.0
666,UDMIS4TG,110000010101011,True,1.0,-7.0,7.0
667,UDMIS4TG,110001001011000,True,1.0,-6.0,6.0
668,UDMIS4TG,110001010100011,True,1.0,-7.0,7.0
669,UDMIS4TG,110001010101001,True,2.0,-7.0,7.0
670,UDMIS4TG,110001010101101,False,2.0,8.0,
671,UDMIS4TG,110100001001011,False,1.0,9.0,
672,UDMIS4TG,110100001010101,False,1.0,9.0,
673,UDMIS4TG,110100010011011,False,1.0,8.0,
674,UDMIS4TG,110100110001011,False,1.0,24.0,
675,UDMIS4TG,110101010010100,False,1.0,25.0,
676,UDMIS4TG,110101101101010,False,1.0,55.0,
677,UDMIS4TG,110110010000111,False,1.0,40.0,
678,UDMIS4TG,110111101010101,False,1.0,70.0,
679,UDMIS4TG,111000000101101,False,1.0,9.0,
680,UDMIS4TG,111000001001011,True,1.0,-7.0,7.0
681,UDMIS4TG,111000001001101,True,1.0,-7.0,7.0
682,UDMIS4TG,111000001011101,True,1.0,-8.0,8.0
683,UDMIS4TG,111000001100011,True,1.0,-7.0,7.0
684,UDMIS4TG,111000001101001,True,1.0,-7.0,7.0
685,UDMIS4TG,111000001101101,False,1.0,8.0,
686,UDMIS4TG,111000001101111,False,1.0,23.0,
687,UDMIS4TG,111000001111111,False,1.0,38.0,
688,UDMIS4TG,111000010010011,True,1.0,-7.0,7.0
689,UDMIS4TG,111000010011011,True,2.0,-8.0,8.0
690,UDMIS4TG,111000010011101,True,1.0,-8.0,8.0
691,UDMIS4TG,111000010101101,False,1.0,8.0,
692,UDMIS4TG,111000010111000,False,1.0,9.0,
693,UDMIS4TG,111000011000101,False,1.0,9.0,
694,UDMIS4TG,111000011001101,False,1.0,8.0,
695,UDMIS4TG,111000011011101,False,1.0,7.0,
696,UDMIS4TG,111000100110111,False,1.0,39.0,
697,UDMIS4TG,111000101001010,True,1.0,-7.0,7.0
698,UDMIS4TG,111000101001011,True,1.0,-8.0,8.0
699,UDMIS4TG,111000101001101,True,1.0,-8.0,8.0
700,UDMIS4TG,111000101011011,True,4.0,-9.0,9.0
701,UDMIS4TG,111000101100001,True,1.0,-7.0,7.0
