,inst_id,solution,sol_feasible,no_occ,objective,orig_obj
0,UDMIS7TG,010000000001000100001000110001,True,1.0,-7.0,7.0
1,UDMIS7TG,010000000001110000000101101000,False,1.0,23.0,
2,UDMIS7TG,000000000100000001000010101000,True,1.0,-5.0,5.0
3,UDMIS7TG,010000000110010011011101101100,False,1.0,49.0,
4,UDMIS7TG,000001000000100000001011001001,True,1.0,-7.0,7.0
5,UDMIS7TG,010000001001101010011110001101,False,1.0,49.0,
6,UDMIS7TG,010000001101000100011000000101,True,1.0,-9.0,9.0
7,UDMIS7TG,010000010100000001101001101100,False,1.0,21.0,
8,UDMIS7TG,010000011100000000101100101000,False,1.0,22.0,
9,UDMIS7TG,010000100010010110001101100000,False,1.0,21.0,
10,UDMIS7TG,010000100101010100001010110001,True,1.0,-11.0,11.0
11,UDMIS7TG,010000100101010100001110110100,True,1.0,-12.0,12.0
12,UDMIS7TG,010000101100000000110110101000,False,1.0,52.0,
13,UDMIS7TG,010000101101101110000010001100,False,1.0,50.0,
14,UDMIS7TG,010000110000010010101000110000,True,1.0,-9.0,9.0
15,UDMIS7TG,010000110010110010001111110000,False,1.0,18.0,
16,UDMIS7TG,010000110011000010110110101001,False,1.0,111.0,
17,UDMIS7TG,010000110110100111000100111000,False,1.0,49.0,
18,UDMIS7TG,010000110111000010010101010010,False,1.0,112.0,
19,UDMIS7TG,010000111000000100001010111000,True,1.0,-10.0,10.0
20,UDMIS7TG,010000111000010011001010111100,True,1.0,-13.0,13.0
21,UDMIS7TG,010000111011111101011010001000,False,1.0,140.0,
22,UDMIS7TG,010001000000001000001011010011,False,1.0,22.0,
23,UDMIS7TG,010001000001000001001000100001,True,1.0,-7.0,7.0
24,UDMIS7TG,010001000001011011000000000001,True,1.0,-8.0,8.0
25,UDMIS7TG,000001000100001000011000101100,True,1.0,-8.0,8.0
26,UDMIS7TG,010001000011001001101001111101,False,1.0,17.0,
