Solving ./instances/orig/UDMIS5TG_N30_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS030EXT_N90_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS1TG_N8_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS103EXT_N100_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS048EXT_N36_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS057EXT_N60_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS042EXT_N25_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS028EXT_N90_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS092EXT_N60_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS002EXT_N15_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS3TG_N25_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS067EXT_N100_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS043EXT_N30_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS038EXT_N15_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS061EXT_N80_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS047EXT_N36_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS050EXT_N40_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS035EXT_N120_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS073EXT_N15_W1.0_R0.4.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS093EXT_N60_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS012EXT_N36_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS052EXT_N49_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS6TG_N60_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS036EXT_N120_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS032EXT_N100_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS008EXT_N30_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS4TG_N15_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS020EXT_N60_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS039EXT_N15_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS100EXT_N90_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS001EXT_N15_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS006EXT_N25_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS007EXT_N30_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS058EXT_N70_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS081EXT_N30_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS040EXT_N25_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS9TG_N150_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS097EXT_N80_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS019EXT_N60_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS064EXT_N90_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS063EXT_N80_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS086EXT_N40_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS046EXT_N36_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS080EXT_N30_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS033EXT_N100_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS087EXT_N40_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS053EXT_N49_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS075EXT_N15_W1.0_R0.4.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS049EXT_N40_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS044EXT_N30_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS8TG_N80_W1.0_R0.1.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS107EXT_N120_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS079EXT_N30_W1.0_R0.3.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS104EXT_N100_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS013EXT_N40_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS101EXT_N90_W1.0_R0.2.orig.json...(0.0 sec.) ✅
Solving ./instances/orig/UDMIS026EXT_N80_W1.0_R0.1.orig.json...(0.0 sec.) ✅
