logtype,instance_id,instance_type,qubo_vars,success_runs,failed_runs
DWave,TSP29,TSP,36,1,0
DWave,TSP157,TSP,16,2,0
DWave,MWC244,MWC,35,2,0
DWave,UDMIS095EXT,UDMIS,70,3,0
DWave,TSP98,TSP,100,1,0
DWave,MWC35,MWC,115,0,1
DWave,UDMIS026EXT,UDMIS,80,3,0
DWave,MWC161,MWC,15,2,0
DWave,TSP164,TSP,121,0,1
DWave,MWC25,MWC,85,1,0
DWave,MWC32,MWC,105,0,1
DWave,UDMIS037EXT,UDMIS,15,3,0
DWave,TSP17,TSP,49,1,0
DWave,UDMIS030EXT,UDMIS,90,3,0
DWave,TSP144,TSP,16,2,0
DWave,MWC102,MWC,75,1,0
DWave,MWC251,MWC,55,1,0
DWave,UDMIS097EXT,UDMIS,80,3,0
DWave,TSP40,TSP,16,2,0
DWave,MWC2,MWC,5,2,0
DWave,UDMIS056EXT,UDMIS,60,3,0
DWave,UDMIS039EXT,UDMIS,15,3,0
DWave,UDMIS087EXT,UDMIS,40,3,0
DWave,MWC165,MWC,25,2,0
DWave,UDMIS005EXT,UDMIS,25,3,0
DWave,TSP185,TSP,36,1,0
DWave,UDMIS038EXT,UDMIS,15,3,0
DWave,UDMIS078EXT,UDMIS,25,3,0
DWave,MWC192,MWC,115,0,1
DWave,UDMIS7TG,UDMIS,30,2,0
DWave,UDMIS019EXT,UDMIS,60,3,0
DWave,MWC194,MWC,125,0,1
DWave,MWC170,MWC,45,1,0
DWave,TSP53,TSP,16,2,0
DWave,UDMIS025EXT,UDMIS,80,3,0
DWave,TSP85,TSP,100,1,0
DWave,TSP106,TSP,25,2,0
DWave,TSP34,TSP,121,0,1
DWave,TSP133,TSP,36,2,0
DWave,UDMIS065EXT,UDMIS,90,3,0
DWave,UDMIS053EXT,UDMIS,49,3,0
DWave,MWC85,MWC,25,2,0
DWave,UDMIS050EXT,UDMIS,40,3,0
DWave,UDMIS082EXT,UDMIS,36,3,0
DWave,TSP22,TSP,144,0,1
DWave,MWC191,MWC,115,0,1
DWave,MWC41,MWC,135,0,1
DWave,TSP120,TSP,36,2,0
DWave,MWC39,MWC,125,0,1
DWave,TSP150,TSP,100,1,0
DWave,MWC98,MWC,65,1,0
DWave,UDMIS104EXT,UDMIS,100,2,2
DWave,MWC167,MWC,35,2,0
DWave,MWC237,MWC,5,2,0
DWave,MWC327,MWC,45,1,0
