logfile,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,success,sol_time,obj_from_QPU_sol,classic_solver,classic_solver_params,backend_name,sampler_shots,est_shots
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0010.json,1698441079.528865,1698441913.651819,MWC314,MWC,5,True,834.1229538917542,8.978402302924028,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0011.json,1698441913.667447,1698442772.093719,MWC315,MWC,5,True,858.4262719154358,11.581070492622846,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0040.json,1699923129.839426,1699923401.316835,MWC316,MWC,15,True,271.4774088859558,31.93963712642312,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0041.json,1699923401.332408,1699923754.234266,MWC317,MWC,15,True,352.9018580913544,161.1192726860416,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0042.json,1699923754.243815,1699924133.419707,MWC318,MWC,15,True,379.1758921146393,215.48824092981616,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0087.json,1699947101.804026,1699948297.145214,MWC319,MWC,25,True,1195.3411881923676,219.32490691612543,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0088.json,1699948297.176462,1699949819.65175,MWC320,MWC,25,True,1522.4752881526947,519.4896062051236,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0089.json,1699949819.667516,1699951762.523773,MWC321,MWC,25,True,1942.8562569618225,717.3199139186894,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0043.json,1699924133.435328,1699924478.267434,MWC4,MWC,15,True,344.83210587501526,77.46018243873176,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0044.json,1699924478.283058,1699924845.246449,MWC5,MWC,15,True,366.96339106559753,91.01545000859736,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0045.json,1699924845.262005,1699925222.925021,MWC6,MWC,15,True,377.66301584243774,156.3724167372077,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0090.json,1699951762.539392,1699952822.17272,MWC7,MWC,25,True,1059.633327960968,213.5532708633701,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0012.json,1698442772.12496,1698443545.360232,MWC79,MWC,5,True,773.2352721691132,7.290784074891937,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0091.json,1699952822.200384,1699954251.496497,MWC8,MWC,25,True,1429.2961130142212,411.1689128914508,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0013.json,1698443545.375856,1698444362.640968,MWC80,MWC,5,True,817.2651121616364,2.046531527500851,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0014.json,1698444362.660118,1698445168.941261,MWC81,MWC,5,True,806.281142950058,24.21662842514682,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0046.json,1699925222.940631,1699925515.788237,MWC82,MWC,15,True,292.8476061820984,11.991251228714145,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0047.json,1699925515.819519,1699925837.197841,MWC83,MWC,15,True,321.3783218860626,49.76850743839651,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0048.json,1699925837.213425,1699926215.735284,MWC84,MWC,15,True,378.5218591690064,197.11291621948084,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0092.json,1699954251.512065,1699955306.120832,MWC85,MWC,25,True,1054.6087670326233,140.12657224815288,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0090.json,1698569703.032458,1698574442.790244,MWC86,MWC,25,True,4739.757786035538,404.7960741309648,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0091.json,1698574442.8215,1698580181.145833,MWC87,MWC,25,True,5738.324332952499,441.8300256113358,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0092.json,1698580181.177164,1698586111.502504,MWC9,MWC,25,True,5930.3253400325775,279.3054493822062,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000.0,1000.0
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0066.json,1699931427.014472,1699931793.164512,TSP1,TSP,16,True,366.1500399112701,23612.0,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000.0,1000.0
