filename,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,sol_time,obj_from_QPU_sol,success,solver_name,chip_id,chip_type,topology,num_reads,binary_vars,emb_qubits,embedding_time
./run_logs/dwave/dwave-1000shots-full-2_dwave_2.0.2_1702925127.679918_0061.json,1702925535.130686,1702925541.886242,MWC16,MWC,55,6.755555868148804,531.9693860277525,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,55.0,272.0,-1.0
./run_logs/dwave/dwave-1000shots-full-1_dwave_2.0.2_1702923192.026073_0034.json,1702923358.970674,1702923365.451948,MWC160,MWC,15,6.481273889541626,76.16447280184849,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,15.0,16.0,-1.0
./run_logs/dwave/dwave-1000shots-full-1_dwave_2.0.2_1702923192.026073_0035.json,1702923365.998889,1702923372.167191,MWC161,MWC,15,6.168302059173584,149.86197406534023,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,15.0,27.0,-1.0
./run_logs/dwave/dwave-1000shots-full-1_dwave_2.0.2_1702923192.026073_0036.json,1702923372.745309,1702923379.223839,MWC162,MWC,15,6.478529930114746,211.42653947603156,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,15.0,30.0,-1.0
./run_logs/dwave/dwave-1000shots-full-1_dwave_2.0.2_1702923192.026073_0090.json,1702923703.947347,1702923710.500168,MWC163,MWC,25,6.552821159362793,101.2603546480656,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,25.0,52.0,-1.0
./run_logs/dwave/dwave-1000shots-full-1_dwave_2.0.2_1702923192.026073_0091.json,1702923711.093927,1702923723.611858,MWC164,MWC,25,12.51793098449707,163.34019768147107,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,25.0,69.0,-1.0
./run_logs/dwave/dwave-1000shots-full-1_dwave_2.0.2_1702923192.026073_0092.json,1702923724.22132,1702923735.955948,MWC165,MWC,25,11.734628200531006,443.0690868650572,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,25.0,81.0,-1.0
./run_logs/dwave/dwave-1000shots-full-1_dwave_2.0.2_1702923192.026073_0159.json,1702924168.382795,1702924175.025886,MWC166,MWC,35,6.643090963363648,424.99657066699785,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,35.0,86.0,-1.0
./run_logs/dwave/dwave-1000shots-full-1_dwave_2.0.2_1702923192.026073_0160.json,1702924175.775902,1702924182.710561,MWC167,MWC,35,6.934659004211426,291.2310822422904,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,35.0,137.0,-1.0
./run_logs/dwave/dwave-1000shots-full-1_dwave_2.0.2_1702923192.026073_0161.json,1702924183.429333,1702924189.853645,MWC168,MWC,35,6.424312114715576,406.36151664197706,True,QUBODwaveSolver,Advantage_system4.1,qpu,pegasus,1000.0,35.0,161.0,-1.0
