logfile,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,success,sol_time,obj_from_QPU_sol,classic_solver,classic_solver_params,backend_name,sampler_shots,est_shots
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0069.json,1699932615.723003,1699933011.844218,TSP131,TSP,16,True,396.12121510505676,8514.0,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0012.json,1699916485.057818,1699916645.258715,MWC79,MWC,5,False,160.2008969783783,,,,,,
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0009.json,1699914881.396749,1699915230.461772,MWC313,MWC,5,True,349.06502294540405,3.175365869134671,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0077.json,1699935718.830679,1699936116.432182,TSP53,TSP,16,True,397.6015031337738,285.0,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0012.json,1698442772.12496,1698443545.360232,MWC79,MWC,5,True,773.2352721691132,7.290784074891937,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0101.json,1698627671.258217,1698632876.826472,TSP2,TSP,25,True,5205.568254947662,,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0043.json,1698470415.584727,1698471656.717159,MWC5,MWC,15,True,1241.1324319839478,91.01545000859736,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0073.json,1698506525.05465,1698507878.64921,TSP40,TSP,16,True,1353.5945599079132,4057.0,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_ibmq_qasm_simulator_2.0.1_1698434478.602475_0038.json,1698465005.459886,1698466114.8822,MWC240,MWC,15,True,1109.4223139286041,173.81120985495392,BOBYQA,{'maxiter': 150},ibmq_qasm_simulator,1000,1000
./run_logs/ibm-sim/sim_bobyqa1000_p3_iter50_ibmq_qasm_simulator_2.0.1_1699912892.569392_0085.json,1699943565.871474,1699945116.298304,MWC242,MWC,25,True,1550.4268300533295,120.78475128869025,BOBYQA,{'maxiter': 50},ibmq_qasm_simulator,1000,1000
