logfile,start_timestamp,end_timestamp,instance_id,instance_type,qubo_vars,R,version,success,sol_time,obj_from_QPU_sol
./run_logs/quera/result_UDMIS088EXT_N49_W1.0_R0.2.orig_1700088808.067541.json,1700088808.067541,1700088866.789506,UDMIS088EXT,UDMIS,49,1.85,1.1,True,58.721965074539185,13
./run_logs/quera/result_UDMIS074EXT_N15_W1.0_R0.4.orig_1700092251.996032.json,1700092251.996032,1700092309.688995,UDMIS074EXT,UDMIS,15,1.85,1.1,True,57.692962884902954,6
./run_logs/quera/result_UDMIS053EXT_N49_W1.0_R0.2.orig_1700091621.258881.json,1700091621.258881,1700091678.123101,UDMIS053EXT,UDMIS,49,1.42,1.1,True,56.86421990394592,16
./run_logs/quera/result_UDMIS106EXT_N120_W1.0_R0.2.orig_1700087362.175383.json,1700087362.175383,1700087419.6363,UDMIS106EXT,UDMIS,120,1.85,1.1,True,57.4609169960022,24
./run_logs/quera/result_UDMIS076EXT_N25_W1.0_R0.3.orig_1700091502.975669.json,1700091502.975669,1700091560.721272,UDMIS076EXT,UDMIS,25,1.85,1.1,True,57.74560308456421,8
./run_logs/quera/result_UDMIS024EXT_N70_W1.0_R0.1.orig_1700093450.323636.json,1700093450.323636,1700093507.549927,UDMIS024EXT,UDMIS,70,1.25,1.1,True,57.2262909412384,28
./run_logs/quera/result_UDMIS105EXT_N100_W1.0_R0.2.orig_1700093059.752687.json,1700093059.752687,1700093116.389525,UDMIS105EXT,UDMIS,100,1.85,1.1,True,56.63683795928955,22
./run_logs/quera/result_UDMIS9TG_N150_W1.0_R0.1.orig_1698330245.674977.json,1698330245.674977,1698330480.849596,UDMIS9TG,UDMIS,150,1.5,1.0,True,235.17461895942688,37
./run_logs/quera/result_UDMIS028EXT_N90_W1.0_R0.1.orig_1700087128.134779.json,1700087128.134779,1700087189.327616,UDMIS028EXT,UDMIS,90,1.25,1.1,True,61.19283699989319,37
./run_logs/quera/result_UDMIS045EXT_N30_W1.0_R0.2.orig_1700089155.000545.json,1700089155.000545,1700089212.348713,UDMIS045EXT,UDMIS,30,1.42,1.1,True,57.34816789627075,13
./run_logs/quera/result_UDMIS038EXT_N15_W1.0_R0.3.orig_1700088112.824027.json,1700088112.824027,1700088170.271885,UDMIS038EXT,UDMIS,15,1.42,1.1,True,57.44785785675049,6
