,inst_id,solution,sol_feasible,no_occ,objective,orig_obj
0,UDMIS4TG,"['1', '1', '1', '0', '0', '0', '0', '1', '0', '0', '1', '1', '0', '1', '1']",True,1,-8.0,8.0
1,UDMIS4TG,"['1', '0', '1', '0', '1', '0', '0', '1', '0', '0', '1', '1', '0', '1', '1']",True,1,-8.0,8.0
2,UDMIS4TG,"['0', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1', '1', '0', '1', '0']",True,1,-7.0,7.0
3,UDMIS4TG,"['1', '0', '0', '0', '0', '1', '0', '0', '1', '0', '1', '1', '1', '0', '1']",True,1,-7.0,7.0
4,UDMIS4TG,"['1', '0', '1', '0', '1', '0', '1', '0', '1', '1', '0', '1', '0', '1', '1']",True,2,-9.0,9.0
5,UDMIS4TG,"['1', '1', '1', '0', '0', '1', '0', '0', '1', '1', '0', '1', '0', '1', '1']",True,3,-9.0,9.0
6,UDMIS4TG,"['0', '0', '1', '1', '1', '1', '0', '0', '1', '0', '1', '1', '0', '1', '1']",False,1,7.0,
7,UDMIS4TG,"['0', '1', '1', '0', '0', '1', '0', '1', '0', '0', '0', '1', '1', '0', '1']",True,1,-7.0,7.0
8,UDMIS4TG,"['1', '0', '1', '0', '1', '1', '0', '1', '0', '1', '0', '1', '0', '1', '1']",True,1,-9.0,9.0
9,UDMIS4TG,"['1', '0', '1', '0', '1', '0', '1', '1', '0', '0', '1', '1', '1', '1', '1']",False,1,6.0,
10,UDMIS4TG,"['1', '0', '1', '0', '1', '1', '0', '0', '1', '1', '0', '1', '0', '1', '1']",True,2,-9.0,9.0
11,UDMIS4TG,"['1', '1', '1', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '1', '1']",True,1,-8.0,8.0
12,UDMIS4TG,"['1', '0', '1', '0', '1', '0', '1', '1', '1', '0', '1', '1', '1', '0', '1']",False,2,6.0,
13,UDMIS4TG,"['1', '1', '1', '0', '0', '1', '0', '1', '1', '1', '0', '1', '0', '1', '1']",False,2,6.0,
14,UDMIS4TG,"['1', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1', '1', '0', '1', '1']",True,3,-9.0,9.0
15,UDMIS4TG,"['1', '1', '1', '0', '0', '0', '0', '1', '1', '1', '0', '1', '0', '1', '1']",False,1,7.0,
16,UDMIS4TG,"['1', '0', '1', '0', '0', '0', '1', '1', '0', '1', '0', '1', '0', '1', '1']",True,1,-8.0,8.0
17,UDMIS4TG,"['1', '0', '1', '0', '1', '0', '1', '1', '0', '0', '0', '1', '0', '1', '1']",True,1,-8.0,8.0
18,UDMIS4TG,"['1', '1', '1', '0', '0', '1', '0', '1', '0', '0', '1', '1', '0', '1', '1']",True,4,-9.0,9.0
19,UDMIS4TG,"['1', '1', '1', '0', '0', '0', '1', '1', '0', '1', '0', '1', '0', '1', '1']",True,1,-9.0,9.0
20,UDMIS4TG,"['1', '0', '1', '0', '1', '0', '0', '1', '0', '0', '1', '1', '0', '0', '1']",True,1,-7.0,7.0
21,UDMIS4TG,"['0', '0', '1', '0', '1', '1', '1', '0', '1', '0', '1', '1', '0', '1', '1']",False,1,7.0,
22,UDMIS4TG,"['1', '0', '1', '0', '1', '0', '1', '0', '1', '0', '1', '1', '0', '1', '1']",True,2,-9.0,9.0
23,UDMIS4TG,"['1', '0', '1', '0', '1', '0', '1', '0', '1', '1', '1', '1', '0', '1', '1']",False,1,6.0,
