,inst_id,solution,sol_feasible,no_occ,objective,orig_obj
0,UDMIS1TG,"['1', '1', '0', '0', '1', '0', '0', '0']",True,3,-3.0,3.0
1,UDMIS1TG,"['1', '1', '0', '0', '1', '1', '0', '0']",True,22,-4.0,4.0
2,UDMIS1TG,"['1', '1', '0', '1', '0', '0', '0', '1']",True,5,-4.0,4.0
3,UDMIS1TG,"['1', '1', '0', '1', '0', '1', '1', '0']",False,5,4.0,
4,UDMIS1TG,"['1', '1', '0', '0', '1', '0', '1', '0']",True,10,-4.0,4.0
5,UDMIS1TG,"['1', '1', '0', '1', '0', '1', '0', '0']",True,10,-4.0,4.0
6,UDMIS1TG,"['1', '1', '0', '0', '1', '1', '1', '0']",False,4,4.0,
7,UDMIS1TG,"['1', '1', '0', '0', '1', '0', '0', '1']",True,5,-4.0,4.0
8,UDMIS1TG,"['0', '1', '0', '1', '0', '1', '0', '0']",True,1,-3.0,3.0
9,UDMIS1TG,"['1', '1', '1', '1', '0', '0', '1', '0']",False,1,13.0,
10,UDMIS1TG,"['1', '1', '0', '1', '0', '0', '1', '0']",True,15,-4.0,4.0
11,UDMIS1TG,"['1', '1', '0', '0', '0', '1', '0', '0']",True,1,-3.0,3.0
12,UDMIS1TG,"['1', '1', '1', '0', '1', '1', '1', '0']",False,1,21.0,
13,UDMIS1TG,"['1', '0', '0', '1', '0', '0', '1', '0']",True,2,-3.0,3.0
14,UDMIS1TG,"['1', '0', '0', '1', '0', '1', '1', '0']",False,1,5.0,
15,UDMIS1TG,"['1', '1', '0', '0', '1', '1', '1', '1']",False,1,21.0,
16,UDMIS1TG,"['1', '1', '1', '0', '1', '1', '0', '0']",False,1,13.0,
17,UDMIS1TG,"['1', '1', '0', '0', '0', '0', '1', '0']",True,2,-3.0,3.0
18,UDMIS1TG,"['1', '0', '0', '0', '0', '0', '1', '0']",True,1,-2.0,2.0
19,UDMIS1TG,"['1', '0', '0', '0', '1', '0', '0', '1']",True,1,-3.0,3.0
20,UDMIS1TG,"['0', '1', '0', '0', '1', '1', '0', '0']",True,1,-3.0,3.0
21,UDMIS1TG,"['1', '1', '0', '0', '0', '0', '0', '0']",True,1,-2.0,2.0
22,UDMIS1TG,"['0', '1', '0', '0', '0', '0', '0', '1']",True,1,-2.0,2.0
23,UDMIS1TG,"['1', '1', '0', '0', '0', '1', '1', '0']",False,1,5.0,
24,UDMIS1TG,"['0', '1', '0', '0', '0', '1', '0', '1']",False,1,6.0,
25,UDMIS1TG,"['0', '1', '0', '0', '1', '1', '1', '0']",False,1,5.0,
26,UDMIS1TG,"['1', '1', '1', '1', '0', '1', '0', '1']",False,1,21.0,
27,UDMIS1TG,"['1', '1', '0', '1', '0', '0', '1', '1']",False,1,4.0,
